feature,why
FLAG_DOCUMENT_17,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_18,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_19,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_20,Binary indicator; simple yet often strong signals for specific conditions.
FLAG_DOCUMENT_21,Binary indicator; simple yet often strong signals for specific conditions.
AMT_REQ_CREDIT_BUREAU_HOUR,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_REQ_CREDIT_BUREAU_DAY,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_REQ_CREDIT_BUREAU_WEEK,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_REQ_CREDIT_BUREAU_MON,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_REQ_CREDIT_BUREAU_QRT,Amount-level feature; combine with ratios/normalization to reduce scale effects.
AMT_REQ_CREDIT_BUREAU_YEAR,Amount-level feature; combine with ratios/normalization to reduce scale effects.
CREDIT_INCOME_RATIO,Leverage proxy: loan amount vs. income. Higher values imply higher repayment burden.
ANNUITY_INCOME_RATIO,Debt service ratio proxy: annualized annuity vs. income; captures affordability.
CREDIT_GOODS_RATIO,Loan-to-price ratio: loan amount vs. goods price; high values can be risk signal.
AGE_YEARS,Age in years. Risk can be non-linear across ages; important control variable.
EMPLOYMENT_YEARS,Tenure in years. Longer employment often implies income stability and lower risk.
DAYS_EMPLOYED_PERCENT,Employment proportion over lifespan; age-adjusted employment stability.
EXT_SOURCE_MEAN,Aggregates external credit scores to stabilize noisy single-source signals.
EXT_SOURCE_STD,Aggregates external credit scores to stabilize noisy single-source signals.
EXT_SOURCE_MIN,Aggregates external credit scores to stabilize noisy single-source signals.
EXT_SOURCE_MAX,Aggregates external credit scores to stabilize noisy single-source signals.
BUREAU_DAYS_CREDIT_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_CREDIT_DAY_OVERDUE_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_CREDIT_DAY_OVERDUE_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_CREDIT_DAY_OVERDUE_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_ENDDATE_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_ENDDATE_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_ENDDATE_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_ENDDATE_FACT_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_ENDDATE_FACT_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_ENDDATE_FACT_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_MAX_OVERDUE_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_MAX_OVERDUE_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_CNT_CREDIT_PROLONG_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_CNT_CREDIT_PROLONG_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_CNT_CREDIT_PROLONG_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_DEBT_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_DEBT_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_DEBT_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_LIMIT_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_LIMIT_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_LIMIT_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_OVERDUE_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_OVERDUE_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_CREDIT_SUM_OVERDUE_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_UPDATE_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_UPDATE_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_DAYS_CREDIT_UPDATE_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_ANNUITY_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_ANNUITY_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_AMT_ANNUITY_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_min_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_min_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_min_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_max_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_max_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_max_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_mean_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_mean_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_MONTHS_BALANCE_mean_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_STATUS_<lambda>_mean,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_STATUS_<lambda>_max,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
BUREAU_BB_STATUS_<lambda>_min,"Aggregated bureau-level stats summarizing past credit behavior (e.g., balances, delinquencies)."
PREV_AMT_ANNUITY_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_ANNUITY_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_ANNUITY_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_APPLICATION_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_APPLICATION_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_APPLICATION_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_CREDIT_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_CREDIT_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_CREDIT_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_DOWN_PAYMENT_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_DOWN_PAYMENT_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_DOWN_PAYMENT_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_GOODS_PRICE_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_GOODS_PRICE_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_AMT_GOODS_PRICE_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_HOUR_APPR_PROCESS_START_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_HOUR_APPR_PROCESS_START_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_HOUR_APPR_PROCESS_START_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_NFLAG_LAST_APPL_IN_DAY_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_NFLAG_LAST_APPL_IN_DAY_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_NFLAG_LAST_APPL_IN_DAY_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_DOWN_PAYMENT_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_DOWN_PAYMENT_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_DOWN_PAYMENT_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_INTEREST_PRIMARY_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_INTEREST_PRIMARY_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_INTEREST_PRIMARY_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_INTEREST_PRIVILEGED_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_INTEREST_PRIVILEGED_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_RATE_INTEREST_PRIVILEGED_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_DECISION_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_DECISION_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_DECISION_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_SELLERPLACE_AREA_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_SELLERPLACE_AREA_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_SELLERPLACE_AREA_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_CNT_PAYMENT_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_CNT_PAYMENT_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_CNT_PAYMENT_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_FIRST_DRAWING_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_FIRST_DRAWING_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_FIRST_DRAWING_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_FIRST_DUE_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_FIRST_DUE_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_FIRST_DUE_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_LAST_DUE_1ST_VERSION_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_LAST_DUE_1ST_VERSION_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_LAST_DUE_1ST_VERSION_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_LAST_DUE_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_LAST_DUE_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_LAST_DUE_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_TERMINATION_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_TERMINATION_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_DAYS_TERMINATION_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_NFLAG_INSURED_ON_APPROVAL_mean,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_NFLAG_INSURED_ON_APPROVAL_max,Aggregates from previous applications; patterns of approvals/denials relate to risk.
PREV_NFLAG_INSURED_ON_APPROVAL_min,Aggregates from previous applications; patterns of approvals/denials relate to risk.
CC_MONTHS_BALANCE_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_MONTHS_BALANCE_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_MONTHS_BALANCE_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_BALANCE_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_BALANCE_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_BALANCE_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_CREDIT_LIMIT_ACTUAL_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_CREDIT_LIMIT_ACTUAL_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_CREDIT_LIMIT_ACTUAL_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_ATM_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_ATM_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_ATM_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_OTHER_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_OTHER_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_OTHER_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_POS_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_POS_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_DRAWINGS_POS_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_INST_MIN_REGULARITY_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_INST_MIN_REGULARITY_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_INST_MIN_REGULARITY_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_PAYMENT_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_PAYMENT_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_PAYMENT_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_PAYMENT_TOTAL_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_PAYMENT_TOTAL_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_PAYMENT_TOTAL_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_RECEIVABLE_PRINCIPAL_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_RECEIVABLE_PRINCIPAL_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_RECEIVABLE_PRINCIPAL_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_RECIVABLE_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_RECIVABLE_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_RECIVABLE_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_TOTAL_RECEIVABLE_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_TOTAL_RECEIVABLE_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_AMT_TOTAL_RECEIVABLE_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_ATM_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_ATM_CURRENT_max,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_ATM_CURRENT_min,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
CC_CNT_DRAWINGS_CURRENT_mean,Credit card usage/repayment aggregates; sharp utilization spikes can be early warnings.
